year,population,totalp,ppercent,lftotal,lfpp,lfagri,lfnagri,unempn,unempp,nlf
1947,"1,01,827","59,350",58.3,"57,038",56.0,"7,890","49,148","2,311",3.9,"42,477"
1948,"1,03,068","60,621",58.8,"58,343",56.6,"7,629","50,714","2,276",3.8,"42,447"
1949,"1,03,994","61,286",58.9,"57,651",55.4,"7,658","49,993","3,637",5.9,"42,708"
1950,"1,04,995","62,208",59.2,"58,918",56.1,"7,160","51,758","3,288",5.3,"42,787"
1951,"1,04,621","62,017",59.2,"59,961",57.3,"6,726","53,235","2,055",3.3,"42,604"
1952,"1,05,231","62,138",59.0,"60,250",57.3,"6,500","53,749","1,883",3.0,"43,093"
1953,"1,07,056","63,015",58.9,"61,179",57.1,"6,260","54,919","1,834",2.9,"44,041"
1954,"1,08,321","63,643",58.8,"60,109",55.5,"6,205","53,904","3,532",5.5,"44,678"
1955,"1,09,683","65,023",59.3,"62,170",56.7,"6,450","55,722","2,852",4.4,"44,660"
1956,"1,10,954","66,552",60.0,"63,799",57.5,"6,283","57,514","2,750",4.1,"44,402"
1957,"1,12,265","66,929",59.6,"64,071",57.1,"5,947","58,123","2,859",4.3,"45,336"
1958,"1,13,727","67,639",59.5,"63,036",55.4,"5,586","57,450","4,602",6.8,"46,088"
1959,"1,15,329","68,369",59.3,"64,630",56.0,"5,565","59,065","3,740",5.5,"46,960"
1960,"1,17,245","69,628",59.4,"65,778",56.1,"5,458","60,318","3,852",5.5,"47,617"
1961,"1,18,771","70,459",59.3,"65,746",55.4,"5,200","60,546","4,714",6.7,"48,312"
1962,"1,20,153","70,614",58.8,"66,702",55.5,"4,944","61,759","3,911",5.5,"49,539"
1963,"1,22,416","71,833",58.7,"67,762",55.4,"4,687","63,076","4,070",5.7,"50,583"
1964,"1,24,485","73,091",58.7,"69,305",55.7,"4,523","64,782","3,786",5.2,"51,394"
1965,"1,26,513","74,455",58.9,"71,088",56.2,"4,361","66,726","3,366",4.5,"52,058"
1966,"1,28,058","75,770",59.2,"72,895",56.9,"3,979","68,915","2,875",3.8,"52,288"
1967,"1,29,874","77,347",59.6,"74,372",57.3,"3,844","70,527","2,975",3.8,"52,527"
1968,"1,32,028","78,737",59.6,"75,920",57.5,"3,817","72,103","2,817",3.6,"53,291"
1969,"1,34,335","80,734",60.1,"77,902",58.0,"3,606","74,296","2,832",3.5,"53,602"
1970,"1,37,085","82,771",60.4,"78,678",57.4,"3,463","75,215","4,093",4.9,"54,315"
1971,"1,40,216","84,382",60.2,"79,367",56.6,"3,394","75,972","5,016",5.9,"55,834"
1972,"1,44,126","87,034",60.4,"82,153",57.0,"3,484","78,669","4,882",5.6,"57,091"
1973,"1,47,096","89,429",60.8,"85,064",57.8,"3,470","81,594","4,365",4.9,"57,667"
1974,"1,50,120","91,949",61.3,"86,794",57.8,"3,515","83,279","5,156",5.6,"58,171"
1975,"1,53,153","93,775",61.2,"85,846",56.1,"3,408","82,438","7,929",8.5,"59,377"
1976,"1,56,150","96,158",61.6,"88,752",56.8,"3,331","85,421","7,406",7.7,"59,991"
1977,"1,59,033","99,009",62.3,"92,017",57.9,"3,283","88,734","6,991",7.1,"60,025"
1978,"1,61,910","1,02,251",63.2,"96,048",59.3,"3,387","92,661","6,202",6.1,"59,659"
1979,"1,64,863","1,04,962",63.7,"98,824",59.9,"3,347","95,477","6,137",5.8,"59,900"
1980,"1,67,745","1,06,940",63.8,"99,303",59.2,"3,364","95,938","7,637",7.1,"60,806"
1981,"1,70,130","1,08,670",63.9,"1,00,397",59.0,"3,368","97,030","8,273",7.6,"61,460"
1982,"1,72,271","1,10,204",64.0,"99,526",57.8,"3,401","96,125","10,678",9.7,"62,067"
1983,"1,74,215","1,11,550",64.0,"1,00,834",57.9,"3,383","97,450","10,717",9.6,"62,665"
1984,"1,76,383","1,13,544",64.4,"1,05,005",59.5,"3,321","1,01,685","8,539",7.5,"62,839"
1985,"1,78,206","1,15,461",64.8,"1,07,150",60.1,"3,179","1,03,971","8,312",7.2,"62,744"
1986,"1,80,587","1,17,834",65.3,"1,09,597",60.7,"3,163","1,06,434","8,237",7.0,"62,752"
1987,"1,82,753","1,19,865",65.6,"1,12,440",61.5,"3,208","1,09,232","7,425",6.2,"62,888"
1988,"1,84,613","1,21,669",65.9,"1,14,968",62.3,"3,169","1,11,800","6,701",5.5,"62,944"
1989,"1,86,393","1,23,869",66.5,"1,17,342",63.0,"3,199","1,14,142","6,528",5.3,"62,523"
1990,"1,89,164","1,25,840",66.5,"1,18,793",62.8,"3,223","1,15,570","7,047",5.6,"63,324"
1991,"1,90,925","1,26,346",66.2,"1,17,718",61.7,"3,269","1,14,449","8,628",6.8,"64,578"
1992,"1,92,805","1,28,105",66.4,"1,18,492",61.5,"3,247","1,15,245","9,613",7.5,"64,700"
1993,"1,94,838","1,29,200",66.3,"1,20,259",61.7,"3,115","1,17,144","8,940",6.9,"65,638"
1994,"1,96,814","1,31,056",66.6,"1,23,060",62.5,"3,409","1,19,651","7,996",6.1,"65,758"
1995,"1,98,584","1,32,304",66.6,"1,24,900",62.9,"3,440","1,21,460","7,404",5.6,"66,280"
1996,"2,00,591","1,33,943",66.8,"1,26,708",63.2,"3,443","1,23,264","7,236",5.4,"66,647"
